Tag,Nazione,Note
AFG,Kingdom of Afghanistan,Indipendente
ALB,Albanian Kingdom,Indipendente
AFA,Sultanate of Aussa,Indipendente
ARG,Argentina,Indipendente
AST,Australia,Puppet (UK)
AUS,Austria,Indipendente
COG,Belgian Congo,Puppet (Belgio)
BEL,Belgium,Indipendente
BHU,Bhutan,Indipendente
BOL,Bolivian Republic,Indipendente
BRA,Second Brazilian Republic,Indipendente
BRM,British Burma,Puppet (UK)
MAL,British Malaya,Puppet (UK)
RAJ,British Raj,Puppet (UK)
BUL,Bulgaria,Indipendente
CAN,Dominion of Canada,Puppet (UK)
CHL,Chile,Indipendente
CHI,China,Indipendente
PRC,Chinese Soviet Republic,Indipendente
COL,Colombia,Indipendente
COS,Costa Rica,Indipendente
CUB,Cuba,Indipendente
CZE,Czechoslovakia,Indipendente
DEN,Denmark,Indipendente
DOM,Dominican Republic,Indipendente
INS,Dutch East Indies,Puppet (Olanda)
ECU,Ecuador,Indipendente
ELS,El Salvador,Indipendente
EST,Estonia,Indipendente
ETH,Ethiopia,Indipendente
FIN,Finland,Indipendente
FRA,France,Indipendente
GSM,Gansu Ma,Indipendente (warlord)
GER,German Reich,Indipendente
GRE,Kingdom of Greece,Indipendente
GDC,Guangdong Clique,Indipendente (warlord)
GXC,Guangxi Clique,Indipendente (warlord)
GUA,Guatemala,Indipendente
HAI,Haiti,Indipendente
HBC,Hebei-Chahar,Indipendente (warlord)
HON,Honduras,Indipendente
HUN,Kingdom of Hungary,Indipendente
ICE,Iceland,Puppet (Danimarca)
PER,Iran,Indipendente
IRQ,Iraq,Indipendente
IRE,Ireland,Indipendente
ITA,Italy,Indipendente
JAP,Japanese Empire,Indipendente
KHM,Khotan Ma,Indipendente (warlord)
KUW,Sheikhdom of Kuwait,Puppet (UK)
LAT,Latvia,Indipendente
LEB,Lebanese Republic,Puppet (Francia)
LIB,Liberia,Indipendente
LIT,Lithuania,Indipendente
LUX,Luxembourg,Indipendente
MAN,Manchukuo,Puppet (Giappone)
MEN,Mengjiang,"Puppet (Giappone, 1939 ma attivo)"
MEX,Mexico,Indipendente
MON,Mongolian People's Republic,Indipendente
OMA,Sultanate of Muscat and Oman,Puppet (UK)
NEP,Nepal,Indipendente
HOL,Netherlands,Indipendente
NZL,New Zealand,Puppet (UK)
NIC,Nicaragua,Indipendente
NXM,Ningxia Ma,Indipendente (warlord)
XIC,Northeastern Army,Indipendente (warlord)
NOR,Norway,Indipendente
PAL,Mandatory Palestine,Puppet (UK)
PAN,Panama,Indipendente
PAR,Republic of Paraguay,Indipendente
PRU,Peru,Indipendente
PHI,Commonwealth of the Philippines,Puppet (USA)
POL,Poland,Indipendente
POR,Portugal,Indipendente
XSM,Xibei San Ma,Indipendente (warlord)
ROM,Romania,Indipendente
SAU,Saudi Arabia,Indipendente
SND,Shandong Clique,Indipendente (warlord)
SHX,Shanxi,Indipendente (warlord)
SIA,Kingdom of Siam,Indipendente
SIC,Sichuan Clique,Indipendente (warlord)
SIK,Sinkiang,Indipendente (warlord)
SAF,South Africa,Puppet (UK)
SOV,Soviet Union,Indipendente
SPR,Spain,Indipendente
SWE,Sweden,Indipendente
SWI,Switzerland,Indipendente
SYR,Republic of Syria,Puppet (Francia)
TAN,Tannu Tuva,Indipendente
TIB,Tibet,Indipendente
JOR,Emirate of Transjordan,Puppet (UK)
TUR,Turkey,Indipendente
ENG,United Kingdom,Indipendente
USA,United States,Indipendente
URG,Uruguay,Indipendente
VEN,Venezuela,Indipendente
YEM,Yemen,Indipendente
YUG,Yugoslavia,Indipendente
YUN,Yunnan,Indipendente (warlord)
